MatchHistory,TeamColor,ban_1,ban_2,ban_3,ban_4,ban_5
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001260036?gameHash=fc1dcf6ede04ee34,Blue,Azir,Kalista,TwistedFate,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001260045?gameHash=e1589c25acb7a1f3,Blue,Annie,Kalista,Sivir,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001260059?gameHash=7483afd2dbea6ff7,Blue,Nidalee,Shen,Alistar,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001260071?gameHash=ad906c10b354307e,Blue,Alistar,Fizz,Tristana,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001260073?gameHash=f82fa235ee6ed757,Blue,Azir,Kalista,Alistar,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001260081?gameHash=3e2cc872b1ad9c5b,Blue,Nidalee,TwistedFate,Nautilus,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001260089?gameHash=7505e3c372fdf91f,Blue,Urgot,Rumble,Sivir,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001290006?gameHash=709fb5f21c47682b,Blue,Azir,Sivir,Alistar,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001290011?gameHash=176010635e0054d0,Blue,Rumble,TwistedFate,Kalista,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001290018?gameHash=d90c172fc49ede4a,Blue,TwistedFate,KogMaw,LeeSin,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001290026?gameHash=d17953813c0bfbb0,Blue,Azir,Annie,Kalista,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001290040?gameHash=f51d237361ebf853,Blue,Rumble,RekSai,Kalista,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001280047?gameHash=afb46527445584c1,Blue,Alistar,Annie,Kalista,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001280054?gameHash=81607d39cb296bc7,Blue,Nidalee,Tristana,Braum,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001280062?gameHash=69fe7bdd0207d7e7,Blue,Rumble,Kalista,Maokai,,
http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001280071?gameHash=da598591672fec8b,Blue,Evelynn,Zac,Vladimir,,
